pert_id,pert_iname,is_positive_control,canonical_smiles,senmayo_mean_z,reversal_score,gps_discrete_score,gps_continuous_score
BRD-K85565420,BRD-K85565420,False,CCCCC[C@@H]1OC2=C([C@H](O)[C@]1(C)O)C(=O)N(OC)C2=C,-0.080395736,1.565089,-0.0,-0.104849465
BRD-K08482401,BRD-K08482401,False,C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)S(=O)(=O)c2ccccc2C)OCc3ccccc3-c4ccccc4C1=O,-0.071290895,1.3052208,-0.0,-0.18327893
BRD-K70500696,KB188-III-56,False,Cc1c(NC(=O)/C(=C/c2ccc3ccccc3c2)/C#N)c(=O)n(c4ccccc4)n1C,-0.013966493,-1.8679072,-0.0,-0.12890483
BRD-K64922699,BRD-K64922699,False,CO[C@H]1CC[C@@H]2CCOc3ccc(cc3C(=O)N(C)CCCC(=O)N(C)C[C@H]1O2)C#N,-0.012653078,0.78692734,-0.0,-0.067380086
BRD-K44070326,BRD-K44070326,False,CCCC#Cc1cnc2O[C@@H](CN(C)Cc3ccccc3F)[C@H](C)CN([C@@H](C)CO)C(=O)c2c1,0.15168384,-0.45014334,-0.0,-0.09991505
BRD-K69247067,afloqualone,False,Cc1ccccc1-n1c(CF)nc2ccc(N)cc2c1=O,-0.068360925,1.0562363,-0.0,-0.084324345
BRD-K42800143,BRD-K42800143,False,C[C@H](CO)N1C[C@H](C)[C@H](CN(C)Cc2ccncc2)OCc3cnnn3CCCC1=O,0.41446027,-2.8956718,-0.0,-0.024204694
BRD-K06890060,alda-1,False,Clc1cccc(Cl)c1C(=O)NCc2ccc3OCOc3c2,-0.043129005,-0.13043648,-0.0,-0.10824199
BRD-K61880255,SA-1939064,False,COc1ccc2c3c([nH]c2c1)[C@H](CO)N(C[C@]31CN(Cc2nccs2)C1)C(=O)Nc1ccc(F)cc1,0.09744285,-0.61820006,-0.056910569105691054,-0.58968425
BRD-K45746021,CC-401,False,C(CN1CCCCC1)Oc1cccc(c1)-c1n[nH]c2ccc(cc12)-c1ncn[nH]1,0.016031766,-0.79630846,-0.016260162601626018,-0.22034922
BRD-K42221274,NNC-711,False,OC(=O)C1=CCCN(CCON=C(c2ccccc2)c2ccccc2)C1,0.028093588,0.9510027,-0.0,0.047450315
BRD-K52904986,BRD-K52904986,False,CC(C)NC(=O)NCC[C@H]1CC[C@H](NS(=O)(=O)c2ccc(Oc3ccccc3)cc2)[C@@H](CO)O1,0.03721109,-2.5202928,-0.0,-0.17825723
BRD-K52062350,BRD-K52062350,False,C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)Cc2cccnc2)Oc3ncc(cc3C1=O)c4cccc(C#N)c4,0.239518,-1.4806998,-0.0,0.036716167
BRD-K76656279,BRD-K76656279,False,CCCNC(=O)N1C[C@]2(CN(C2)S(C)(=O)=O)c2c([C@H]1CO)n(C)c1cc(OC)ccc21,0.04453859,-1.2062006,-0.0,-0.19327301
BRD-K56384721,BRD-K56384721,False,C[C@H](CO)N1C[C@@H](C)[C@H](CN(C)Cc2cccc(F)c2)Oc3ncc(cc3C1=O)C4=CCCCC4,0.0599827,0.5016426,-0.0,-0.03867341
BRD-K17113870,lovastatin,False,CC[C@H](C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@H]12,0.08617766,-1.2272662,-0.056910569105691054,-0.43239683
BRD-K85352360,BRD-K85352360,False,CN(C[C@@H]1[C@H]([C@@H](CO)N1CC1CC1)c1ccc(cc1)C1=CCCCC1)C(C)=O,-0.06840988,-0.22176069,-0.0,-0.11841903
BRD-K27503016,BRD-K27503016,False,C[C@H](CO)N1C[C@H](C)[C@@H](CN(C)Cc2ccncc2)Oc3cc(C#CCN(C)C)ccc3S1(=O)=O,-0.01905815,1.5053108,-0.0,0.03360586
BRD-K83045795,BRD-K83045795,False,CCC(=O)N1CC2(C1)[C@H]([C@@H](CO)N2S(C)(=O)=O)c1ccc(cc1)\C=C\C,0.0404901,0.6075183,-0.0,-0.054289725
BRD-K78451750,BRD-K78451750,False,CN1[C@@H]2CC[C@H](CC(=O)NCCCN3CCOCC3)O[C@H]2COc2ccc(NC(=O)Nc3ccccc3Cl)cc2C1=O,-0.0027495627,-0.302084,-0.0,-0.08567764
BRD-K68536005,BRD-K68536005,False,OC[C@H]1O[C@@H](CC(=O)NCc2cc(F)ccc2F)C[C@H]3[C@@H]1Oc4ccc(NC(=O)Nc5ccc(cc5)C(F)(F)F)cc34,0.09693736,-1.3833692,-0.23577235772357724,-0.66832554
BRD-K02847640,BRD-K02847640,False,Cc1noc(C)c1NC(=O)NCC[C@@H]1CC[C@H](NC(=O)c2ccc(F)cc2)[C@@H](CO)O1,-0.06490774,-0.124326795,-0.0,-0.011409274
BRD-K36018407,BRD-K36018407,False,CCCN1C[C@H](C)[C@@H](CN(C)C(=O)c2ccc(NC(=O)c3ccccc3F)cc2OC[C@H]1C)OC,-0.14603217,1.7626098,-0.0,-0.30421203
BRD-K15998522,BRD-K15998522,False,C[C@@H](CO)N1C[C@@H](C)[C@@H](CN(C)CC2CCCCC2)Oc3ccc(NC(=O)CCCN(C)C)cc3C1=O,-0.054416135,-0.41027892,-0.0,-0.028841265
BRD-K70415218,BRD-K70415218,False,CCCCOc1ccc(Cl)cc1Nc2nc(NCCO)nc(n2)N3CCCC3,0.026338426,-1.0573881,-0.0,-0.039196406
BRD-K56104152,oxiconazole,False,Clc1ccc(CO\N=C(/Cn2ccnc2)c2ccc(Cl)cc2Cl)c(Cl)c1,0.08274966,-1.5017004,-0.11382113821138211,-0.5958533
BRD-K32972218,BRD-K32972218,False,OC[C@H]1O[C@@H](CCn2cc(nn2)C2CC2)CC[C@@H]1NC(=O)Nc1cc(F)ccc1F,-0.061105385,1.334995,-0.0,-0.018280841
BRD-K06896230,BRD-K06896230,False,CCc1csc(n1)N1[C@H](CO)[C@H]([C@H]1C#N)c1ccc(cc1)C1=CCCC1,-0.09931764,0.63906366,-0.0,-0.07285086
BRD-K69011607,BRD-K69011607,False,C[C@@H](CO)N1C[C@H](C)[C@H](CN(C)C(=O)Nc2cccc(F)c2)OCc3cn(CCCC1=O)nn3,0.106369115,-2.351009,-0.0,-0.023593219
BRD-K14048378,BRD-K14048378,False,CCCc1cc(no1)C(=O)N(C2CCCCC2)C3CCCCC3,-0.048983827,0.761555,-0.0,-0.010038825
BRD-K20827004,BRD-K20827004,False,OC[C@@H]1[C@@H]([C@@H](C#N)N1C(=O)c1cccc(F)c1)c1ccc(cc1)C1=CCCCC1,0.06579259,0.4140199,-0.016260162601626018,-0.063772306
BRD-K25255972,BRD-K25255972,False,COc1ccc(NC(=O)N2CC[C@@]3(CC2)CN([C@H](CO)c2[nH]c4cc(OC)ccc4c32)C(=O)CN2CCOCC2)cc1,0.055540185,-0.054209348,-0.0,-0.18163599
BRD-K81091703,chlorprothixene,False,CN(C)CCC=C1c2ccccc2Sc2ccc(Cl)cc12,-0.026267018,-0.7268009,-0.0,-0.13063173
BRD-K33066317,BRD-K33066317,False,CCN(C[C@H]1N[C@H](CO)[C@@H]1c1ccc(cc1)-c1ccc(F)cc1)C(=O)COC,-0.14954253,1.6244748,-0.032520325203252036,-0.22930723
BRD-K46267071,BRD-K46267071,False,OC[C@H]1[C@@H]([C@@H](C#N)N1C(=O)Nc1ccc(F)cc1)c1ccc(cc1)-c1cccnc1,-0.118950926,1.041015,0.008130081300813009,-0.21190256
BRD-K96063588,BRD-K96063588,False,COCC(=O)N(C[C@@H]1[C@H]([C@@H](CO)N1C(C)=O)c1ccc(cc1)\C=C\C)C(C)C,-0.097506754,0.8782048,-0.04878048780487805,-0.42603913
BRD-K78513625,BRD-K78513625,False,COc1ccc(OC(=O)N(C)C[C@H]2OCc3cn(CCCC(=O)N(C[C@H]2C)[C@@H](C)CO)nn3)cc1,-0.17462014,0.47313932,-0.0,-0.0263142
BRD-K37461197,BRD-K37461197,False,C\C=C\c1ccc(cc1)[C@@H]1[C@@H](CO)N([C@@H]1C#N)C(=O)c1cccnc1,-0.09381598,1.3418871,-0.008130081300813009,-0.05807292
